"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"msss_cam_mh:MSSS_Camera_Mini_Header:1       ","Class","MSSS_Camera_Mini_Header","1.0.0.0","msss_cam_mh","The MSSS_Camera_Mini_Header class contains information for cameras developed by Malin Space Science Systems (MSSS) that share a common architecture or digital electronics assembly. Example cameras include Mastcam, MAHLI, MARDI, Mastcam-Z, SHERLOC-Watson and SHERLOC-ACI.","img","","","","","","","","","","",""
"msss_cam_mh:MSSS_Camera_Mini_Header:2        msss_cam_mh:camera_product_id:1             ","Attribute","camera_product_id","n/a","msss_cam_mh","Identifier assigned by the camera to this image (aka CDPID). The identifier is unique among all products stored on the camera at the time of acquisition, but is not necessarily unique across the mission.","img","ASCII_NonNegative_Integer","1","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"msss_cam_mh:MSSS_Camera_Mini_Header:2        msss_cam_mh:magic_initial:1                 ","Attribute","magic_initial","n/a","msss_cam_mh","Bit pattern (hexadecimal value) at the beginning of the mini-header used to help identify product boundaries for flash fault recovery. For MSL, this is a constant 0xFF00F0CA.","img","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"msss_cam_mh:MSSS_Camera_Mini_Header:2        msss_cam_mh:magic_final:1                   ","Attribute","magic_final","n/a","msss_cam_mh","Bit pattern (hexadecimal value) at the end of the mini-header used to help identify product boundaries for flash fault recovery. For MSL, this is a constant 0x1010CC28.","img","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"msss_cam_mh:MSSS_Camera_Mini_Header:2        msss_cam_mh:spacecraft_clock_start:1        ","Attribute","spacecraft_clock_start","n/a","msss_cam_mh","The spacecraft_clock_start is the value of the spacecraft clock at the beginning of the observation.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"msss_cam_mh:MSSS_Camera_Mini_Header:2        msss_cam_mh:spacecraft_clock_stop:1         ","Attribute","spacecraft_clock_stop","n/a","msss_cam_mh","The spacecraft_clock_stop is the value of the spacecraft clock at the end of the observation. spacecraft_clock_stop should only be used if there's also a spacecraft_clock_start value.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"msss_cam_mh:MSSS_Camera_Mini_Header:2        msss_cam_mh:instrument_mode_id:1            ","Attribute","instrument_mode_id","n/a","msss_cam_mh","Specifies the image or video readout mode, which determines the rate the image is read out.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"msss_cam_mh:MSSS_Camera_Mini_Header:2        msss_cam_mh:instrument_serial_number:1      ","Attribute","instrument_serial_number","n/a","msss_cam_mh","The instrument serial number element provides the manufacturer's serial number assigned to an instrument. This number may be used to uniquely identify a particular instrument for tracing its components or determining its calibration history, for example.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"msss_cam_mh:MSSS_Camera_Mini_Header:2        msss_cam_mh:initial_size:1                  ","Attribute","initial_size","n/a","msss_cam_mh","Initially-allocated size of data product by the camera (for compressed data, may not match actual size).","img","ASCII_NonNegative_Integer","0","1","0","18446744073709551615","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"msss_cam_mh:MSSS_Camera_Mini_Header:2        msss_cam_mh:analog_offset:1                 ","Attribute","analog_offset","n/a","msss_cam_mh","The analog_offset attribute identifies the analog value that is subtracted from the signal prior to the analog/digital conversion.","img","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"msss_cam_mh:MSSS_Camera_Mini_Header:2        msss_cam_mh:start_camera_product_id:1       ","Attribute","start_camera_product_id","n/a","msss_cam_mh","The start_camera_product_id of the first frame used to make a focus merge (Zstack) product.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"msss_cam_mh:MSSS_Camera_Mini_Header:2        msss_cam_mh:exposure_count:1                ","Attribute","exposure_count","n/a","msss_cam_mh","The camera_product_id of the first frame used to make a focus merge (Zstack) product.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"msss_cam_mh:MSSS_Camera_Mini_Header:2        msss_cam_mh:focus_merge_blending_flag:1     ","Attribute","focus_merge_blending_flag","n/a","msss_cam_mh","Indicates whether intra-stack image blending has been performed during a focus merge (Zstack) operation.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"msss_cam_mh:MSSS_Camera_Mini_Header:2        msss_cam_mh:focus_merge_registration_flag:1 ","Attribute","focus_merge_registration_flag","n/a","msss_cam_mh","Indicates whether intra-stack image resgistration has been performed during a focus merge operation.","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
